source_id,species,file,title,publisher,tier,route,usability,collected_by,url,accessed_at,capture,bytes,sha256_short,quality,submit_ok,notes
S-003,bird,snapshot/bird/S-003_aav-feeding-birds.md,Feeding Birds (급여 가이드),AAV 미국조류수의사회,1,B+C,B 가공활용,오한빈,https://birdsandexotics.com/wp-content/uploads/2021/11/AAV-Feeding-Birds.pdf,2026-07-31,WebFetch 텍스트 추출,7773,cb5d3d67706a62f4,완전,X,
S-005,bird,snapshot/bird/S-005_unsafe-foods-for-birds.md,Unsafe Foods For Birds,Lafeber Vet,2,A,B 가공활용,오한빈,https://lafeber.com/vet/wp-content/uploads/Unsafe-Foods.pdf,2026-07-31,WebFetch 텍스트 추출,6530,ae4e5080b77c0049,완전,X,3개 위험 분류 + 참고문헌 전량
S-007,bird,snapshot/bird/S-007_common-toxins-birds-reptiles-amphibians.md,"Common Toxins for Birds, Reptiles and Amphibians",ASPCA,2,A,B 가공활용,오한빈,https://www.aspca.org/news/common-toxins-birds-reptiles-and-amphibians,2026-07-31,WebFetch 텍스트 추출,3932,2d6ab357c27db88d,완전,X,
S-008,cat,snapshot/cat/S-008_aspca-cats-plant-list.md,Toxic and Non-Toxic Plant List — Cats,ASPCA,2,A,B 가공활용,"오한빈, 이근준",https://www.aspca.org/pet-care/animal-poison-control/cats-plant-list,2026-07-31,WebFetch 텍스트 추출,19552,b4d64802952ca803,부분,X,Adam-and-Eve~Seven Bark(A~S)만. S 이후 + 무독성 목록 누락
S-010,cat,snapshot/cat/S-010_catconla-fact-sheet.md,CatConLA Fact Sheet,Cornell 수의과대학,1,B,B 가공활용,오한빈,https://www.vet.cornell.edu/sites/default/files/CatConLA-FactSheet1.pdf,2026-07-31,WebFetch 텍스트 추출,4199,76fffc420528562f,완전,X,
S-012,cat,snapshot/cat/S-012_feline-pancreatitis.md,Feline Pancreatitis,Cornell Feline Health Center,1,B,B 가공활용,오한빈,https://www.vet.cornell.edu/.../feline-pancreatitis,2026-07-31,WebFetch 텍스트 추출,2383,689d7d2c0c8812a2,완전,X,원장 URL이 /.../ 로 생략되어 404 → 정식 경로로 재수집. 원장 URL 수정 필요
S-014,cat,snapshot/cat/S-014_dangerous-foods-for-cats.md,Dangerous Foods for Cats,FOUR PAWS International,2,A/B,B 가공활용,"오한빈, 이근준",https://www.four-paws.org/our-stories/publications-guides/dangerous-foods-for-cats,2026-07-31,WebFetch 텍스트 추출,1708,588e64193337c3db,부분,X,도입 + Allium 1개 항목만. 초콜릿·카페인·포도 등 누락
S-016,cat,snapshot/cat/S-016_human-foods-to-avoid-for-cats.md,Human foods to avoid for cats,Agriculture Victoria (주정부),1,A/B,A 자유이용,오한빈,https://agriculture.vic.gov.au/.../human-foods-to-avoid-for-cats,2026-07-31,WebFetch 텍스트 추출,3331,ff27467aa23e667d,완전,O,원장 URL 생략형 404 → 정식 경로로 재수집. 원장 URL 수정 필요
S-019,dog,snapshot/dog/S-019_toxic-non-toxic-plant-list-dogs.md,Toxic and Non-Toxic Plant List — Dogs,ASPCA,2,A,B 가공활용,오한빈,https://www.aspca.org/pet-care/animal-poison-control/dogs-plant-list,2026-07-31,WebFetch 텍스트 추출,34357,98a7c32792f122f4,부분,X,Showy Daisy에서 절단. S~Z + 무독성 목록 전체 누락
S-020,dog,snapshot/dog/S-020_copper-hepatopathy-dietary-management.md,Copper hepatopathy and dietary management,Cornell Riney Canine Health Center,1,B,B 가공활용,이근준,https://www.vet.cornell.edu/.../copper-hepatopathy-and-dietary-management,2026-07-31,WebFetch 텍스트 추출,8855,24f0871b3d15fb59,완전,X,구리 mg/1000kcal 식단표 3종 보존. 원장 URL 수정 필요
